id	regionname	totalenrolled	2010	2011	2012	2013	2014	2015	2016	2017	2018
1	Edinburg	436115	0.086	0.081	0.078	0.076	0.074	0.073	0.074	0.1	0.1
2	Corpus Christi	103152	0.101	0.094	0.092	0.091	0.092	0.091	0.094	0.14	0.13
3	Victoria	53344	0.107	0.101	0.099	0.094	0.091	0.09	0.093	0.11	0.13
4	Houston	1200980	0.089	0.084	0.081	0.079	0.078	0.079	0.079	0.11	0.1
5	Beaumont	84066	0.098	0.092	0.09	0.09	0.089	0.091	0.092	0.14	0.14
6	Huntsville	200528	0.093	0.088	0.086	0.084	0.083	0.082	0.084	0.13	0.13
7	Kilgore	2073796	0.1	0.092	0.089	0.087	0.087	0.087	0.088	0.13	0.13
8	Mount Pleasant	56113	0.112	0.108	0.105	0.103	0.103	0.101	0.103	0.15	0.15
9	Wichita Falls	37533	0.12	0.114	0.111	0.114	0.113	0.112	0.112	0.13	0.15
10	Richardson	874990	0.098	0.092	0.089	0.088	0.087	0.088	0.089	0.11	0.11
11	Fort Worth	593516	0.097	0.091	0.088	0.087	0.085	0.085	0.085	0.12	0.12
12	Waco	176229	0.11	0.102	0.097	0.094	0.095	0.098	0.097	0.15	0.14
13	Austin	412974	0.108	0.104	0.1	0.097	0.095	0.093	0.094	0.13	0.13
14	Abilene	57720	0.107	0.1	0.094	0.092	0.092	0.094	0.097	0.18	0.17
15	San Angelo	50175	0.103	0.097	0.094	0.092	0.091	0.093	0.095	0.14	0.14
16	Amarillo	85018	0.107	0.102	0.098	0.094	0.091	0.088	0.088	0.12	0.13
17	Lubbock	84503	0.104	0.099	0.097	0.095	0.095	0.096	0.099	0.14	0.13
18	Midland	93459	0.081	0.078	0.074	0.072	0.072	0.073	0.074	0.12	0.11
19	El Paso	176994	0.11	0.104	0.101	0.098	0.094	0.09	0.087	0.1	0.09
20	San Antonio	479305	0.109	0.103	0.1	0.098	0.097	0.096	0.097	0.14	0.14
